model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
gnn,0.9779005524861878,0.0,1.0,0.0,0.7333333333333333,0.0,0.8461538461538461,0.0,0.9473895582329317,0.0,0.8748179855086115,0.0
topogcl,0.9668508287292817,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.9899598393574297,0.0,0.799680423062776,0.0
graphcl,0.9834254143646409,0.0,0.9285714285714286,0.0,0.8666666666666667,0.0,0.896551724137931,0.0,0.9963855421686747,0.0,0.94747520997521,0.0
