model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9380530973451326,0.02713222958717856,0.3616666666666667,0.44333333333333336,0.29473684210526313,0.3609774357785736,0.3247058823529412,0.39775146558334945,0.39867785405542844,0.28453265516435206,0.3895807596587054,0.2998382157528506
xgboost,0.9159292035398231,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.084070796460177,0.0
gnn,0.9159292035398231,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.7858632087465038,0.19713397020716777,0.7434135296210533,0.2278401427635902
topogcl,0.95929203539823,0.012004123863938494,0.7165289678283655,0.08580463265293087,0.9052631578947368,0.11721609184905309,0.789873015873016,0.05385519436592428,0.9834731756928553,0.006616594632829566,0.7218475368710011,0.08860906368484489
