model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9834024896265559,0.002624296813417768,1.0,0.0,0.8,0.031622776601683784,0.8885456885456884,0.019539827547072685,0.9958823529411764,0.001084085841693316,0.9669755616640167,0.00868043581472045
xgboost,0.91701244813278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.08298755186721991,0.0
gnn,0.91701244813278,0.0,0.1,0.20000000000000004,0.01,0.02,0.01818181818181818,0.03636363636363636,0.676787330316742,0.2845425598693073,0.5789043409512487,0.28567351102855876
topogcl,0.941908713692946,0.01837007769392421,0.6044632473679128,0.0773874173882921,0.97,0.06000000000000001,0.7397049715943724,0.054886715372868,0.9741176470588234,0.005160355258607373,0.6172767842499175,0.05584699309680852
