model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9293172690763052,0.019277108433734955,0.15,0.3,0.18,0.36,0.16363636363636364,0.32727272727272727,0.47113537117903925,0.4462132026629169,0.4284748742270564,0.4255232639318768
xgboost,0.9196787148594379,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.08032128514056225,0.0
gnn,0.7582329317269076,0.3371236574994393,0.2161290322580645,0.3931780383275507,0.27,0.3893584466786357,0.1335544499723604,0.20097471225476785,0.755589519650655,0.28952714593102374,0.619007090328959,0.3415651669566229
topogcl,0.8377510040160642,0.1279757803572955,0.4393753286755315,0.20961512405001928,0.96,0.07999999999999999,0.5686976319219219,0.20226819601841917,0.9601310043668121,0.016351131727843693,0.5719908556934264,0.08973455932736894
