model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9171270718232044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2606425702811245,0.0,0.16568567136041198,0.0
xgboost,0.994475138121547,0.0,1.0,0.0,0.9333333333333333,0.0,0.9655172413793104,0.0,0.9999999999999999,0.0,1.0,0.0
gnn,0.9779005524861878,0.0,1.0,0.0,0.7333333333333333,0.0,0.8461538461538461,0.0,0.9473895582329317,0.0,0.8748179855086115,0.0
topogcl,0.9668508287292817,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.9899598393574297,0.0,0.799680423062776,0.0
graphcl,0.9834254143646409,0.0,0.9285714285714286,0.0,0.8666666666666667,0.0,0.896551724137931,0.0,0.9963855421686747,0.0,0.94747520997521,0.0
