model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9672566371681416,0.011740264744620851,1.0,0.0,0.6105263157894736,0.13964735959391159,0.7485605353252411,0.11097398297688438,0.995626748029494,0.001985173790586645,0.9651059328671264,0.014777824960202723
gnn,0.9159292035398231,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.7858632087465038,0.19713397020716777,0.7434135296210533,0.2278401427635902
topogcl,0.95929203539823,0.012004123863938494,0.7165289678283655,0.08580463265293087,0.9052631578947368,0.11721609184905309,0.789873015873016,0.05385519436592428,0.9834731756928553,0.006616594632829566,0.7218475368710011,0.08860906368484489
