model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.91701244813278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14447963800904978,0.1166766978150562,0.11989474855795276,0.07651153539242966
xgboost,0.91701244813278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.08298755186721991,0.0
gnn,0.20580912863070538,0.17193851191420745,0.08587001776420597,0.015686078199867462,0.85,0.10954451150103323,0.15493400269278484,0.0235530152404506,0.676787330316742,0.2845425598693073,0.5789043409512487,0.28567351102855876
topogcl,0.941908713692946,0.01837007769392421,0.6044632473679128,0.0773874173882921,0.97,0.06000000000000001,0.7397049715943724,0.054886715372868,0.9741176470588234,0.005160355258607373,0.6172767842499175,0.05584699309680852
