path,dataset,method,train_scenario,test_scenario,train_degradation_rate,test_degradation_rate,accuracy,precision,recall,f1,fpr,auroc
results/low_volume/optc_topogcl_clean_to_low_volume_0.1.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/clean/optc_topogcl_clean_to_clean_0.2.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/clean/lanl_gnn_clean_to_clean_0.1.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/optc_topogcl_clean_to_clean_0.3.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/clean/optc_topogcl_clean_to_clean_0.1.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/clean/lanl_topogcl_clean_to_clean_0.4.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/optc_topogcl_clean_to_clean_0.4.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/clean/lanl_gnn_clean_to_clean_0.0.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_gnn_mild_to_severe_clean.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_topogcl_clean_to_clean_0.5.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_gnn_clean_to_clean_0.2.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_gnn_clean_to_clean_0.3.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/optc_topogcl_clean_to_clean_0.0.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/clean/lanl_gnn_clean_to_clean_0.5.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/optc_topogcl_clean_to_clean_0.5.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
results/clean/lanl_gnn_clean_to_clean_0.4.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_topogcl_clean_to_clean_0.3.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_topogcl_clean_to_clean_0.0.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_topogcl_mild_to_severe_clean.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_topogcl_clean_to_clean_0.2.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/lanl_topogcl_clean_to_clean_0.1.json,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0
results/clean/optc_topogcl_mild_to_severe_clean.json,,,,,,,0.50475,0.6666666666666666,0.019,0.03694701020904229,0.0095,0.965514
