dataset,mode,alpha,beta,hidden,embed_dim,temperature,drop_rate,mask_rate,edge_drop_rate,filtrations,n_seeds,seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,fpr_mean,fpr_std,threshold_mean,threshold_std,val_f1_mean,val_f1_std
streamspot,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",1,42,0.94375,0.0,0.9080459770114943,0.0,0.9875,0.0,0.9461077844311377,0.0,0.9425,0.0,0.9025434027938163,0.0,0.1,0.0,0.44021000564098356,0.0,0.9090909090909091,0.0
grasec,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",1,42,0.7045454545454546,0.0,0.6551724137931034,0.0,0.8636363636363636,0.0,0.7450980392156863,0.0,0.8491735537190083,0.0,0.8516539394094635,0.0,0.45454545454545453,0.0,0.4531929552555084,0.0,0.6961325966850829,0.0
