dataset,mode,alpha,beta,hidden,embed_dim,temperature,drop_rate,mask_rate,edge_drop_rate,filtrations,n_seeds,seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,fpr_mean,fpr_std,threshold_mean,threshold_std,val_f1_mean,val_f1_std
streamspot,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",3,"42,43,44",0.9125,0.023385358667337142,0.8605051215888654,0.03751970885281372,0.9874999999999999,0.010206207261596585,0.9190882968933018,0.019873907959333473,0.9038020833333333,0.029410531849671753,0.8474449600051956,0.03949484816677544,0.1625,0.05103103630798288,0.325391249358654,0.08667155934666415,0.916138125440451,0.009966268938499622
grasec,graph_topo,0.5,0.5,64,64,0.2,0.1,0.1,0.1,"degree,closeness",3,"42,43,44",0.6590909090909091,0.11588680712710875,0.6350574712643678,0.10304839699448913,0.8787878787878789,0.05669177858748396,0.7279855782892867,0.05298589265674304,0.8663911845730028,0.012203887842058806,0.8800023748376687,0.020391425307691648,0.5606060606060607,0.2882772362187947,0.4039031982421875,0.134471313306061,0.6952040383333978,0.010736946707465554
