dataset,mode,seeds,filtrations,alpha,beta,hidden,embed_dim,temperature,drop_rate,edge_drop_rate,mask_rate,batch_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,fpr_mean,fpr_std,threshold_mean,threshold_std,val_f1_mean,val_f1_std
streamspot,graph_only,"42,43,44","degree,closeness",1.0,0.0,64,64,0.2,0.1,0.05,0.1,0,0.99375,0.00510310363079827,0.9877546923617384,0.009957528314954065,1.0,0.0,0.9938143802878102,0.005040134758116823,0.9998958333333334,7.365695637358405e-05,0.9998971193415637,7.274761123318946e-05,0.012500000000000002,0.010206207261596576,0.038801391942737004,0.0037818401993446327,1.0,0.0
grasec,graph_only,"42,43,44","degree,closeness",1.0,0.0,64,64,0.2,0.1,0.05,0.1,0,0.6818181818181818,0.08088695645478264,0.6777512806924572,0.1448183216934397,0.8636363636363636,0.12856486930664504,0.7350777023483044,0.024664195811162064,0.790633608815427,0.022903979543134823,0.7979145836744773,0.030337434344953028,0.5,0.28986555257134833,0.11792093366384505,0.10747759378360092,0.7049963373020288,0.009732095730275532
