dataset,mode,seeds,filtrations,alpha,beta,hidden,embed_dim,temperature,drop_rate,edge_drop_rate,mask_rate,batch_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,fpr_mean,fpr_std,threshold_mean,threshold_std,val_f1_mean,val_f1_std
streamspot,topo_only,"42,43,44","degree,closeness",0.0,1.0,64,64,0.2,0.1,0.05,0.1,0,0.7541666666666668,0.03963811998008428,0.6729031375049074,0.03393988859886464,0.9958333333333332,0.005892556509887875,0.802729525473446,0.02618912573421265,0.6766666666666667,0.04546424543360666,0.6613834367346669,0.03431884692453687,0.4875,0.07359800721939873,0.08482082473735014,0.0040617549030275805,0.7949846605308789,0.015090981057736121
grasec,topo_only,"42,43,44","degree,closeness",0.0,1.0,64,64,0.2,0.1,0.05,0.1,0,0.7272727272727272,0.032141217326661274,0.6503267973856208,0.023108064744658385,0.9848484848484849,0.02142747821777415,0.7833333333333333,0.023570226039551608,0.8712121212121212,0.02296602203930167,0.8553896953041581,0.017210685184342305,0.5303030303030303,0.04285495643554835,0.07387493091324965,0.011478893100969305,0.7018941393030197,0.0041560066454578515
