dataset,mode,seeds,filtrations,alpha,beta,hidden,embed_dim,temperature,drop_rate,edge_drop_rate,mask_rate,batch_size,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,fpr_mean,fpr_std,threshold_mean,threshold_std,val_f1_mean,val_f1_std
streamspot,graph_topo,"42,43,44","degree,closeness",0.5,0.5,64,64,0.2,0.1,0.05,0.1,0,0.9166666666666666,0.0230111687858068,0.8615291871290601,0.03745583552063388,0.9958333333333332,0.005892556509887875,0.9232798934183332,0.01931428994752763,0.8985416666666667,0.030720602620183425,0.8405446968461514,0.036008921118341794,0.1625,0.05103103630798288,0.3178210427363713,0.0840778472123759,0.9094041187064442,0.016879935267927845
grasec,graph_topo,"42,43,44","degree,closeness",0.5,0.5,64,64,0.2,0.1,0.05,0.1,0,0.7424242424242425,0.1235568668962128,0.7181129963473548,0.12912629363771147,0.9090909090909092,0.06428243465332249,0.789648033126294,0.0649469735806806,0.8601928374655646,0.015120177961501521,0.8737578686249702,0.02234984219708924,0.42424242424242425,0.3112520997602142,0.4392882662514846,0.14027885779615362,0.6890368717207682,0.005038041517029448
