dataset,train_ratio,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
streamspot,0.8,graphcl,0.75,0.03600411499115481,0.3531746031746032,0.05353467286996843,0.7333333333333334,0.37712361663282534,0.4499484004127967,0.15387408726204996,0.7559999999999999,0.04835976288885902,0.3054531932013087,0.041110721390609624
streamspot,0.8,infograph,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999999,0.0
grasec,0.8,graphcl,0.9534675615212528,0.006036124189365596,0.9703712462260988,0.00574449462634907,0.9804761904761904,0.0077664316334762375,0.9753606233637235,0.003254498187467914,0.8532486772486773,0.03200026594889628,0.9803972848958599,0.0043542289484527815
grasec,0.8,infograph,0.9838926174496644,0.005799320535488016,0.9990323631685682,0.0006842766124144722,0.9838095238095238,0.005985621471417381,0.9913536980435472,0.0031393534091981156,0.9959365079365079,0.003063889548465601,0.99974145086279,0.00019697413879661067
