model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9712,0.02378570999570959,0.8,0.4000000000000001,0.6210526315789473,0.3129698683646001,0.6987216704863763,0.3502165879366818,0.7652768284347231,0.3728658653223756,0.7394127153064245,0.35042550794956734
xgboost,0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.076,0.0
gnn,0.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6732285258601047,0.16305651778857264,0.4884364026866638,0.19065791025857157
topogcl,0.9663999999999999,0.014664242223858702,0.8555555555555555,0.09987646690775213,0.6947368421052632,0.21929122795789113,0.7374006766947944,0.15567972761826512,0.940624287992709,0.04026937759770608,0.7976704717682276,0.14651853392305367
