model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9662921348314606,0.03767723247927878,0.8179962894248609,0.21739220767060607,0.9099999999999999,0.05830951894845301,0.8358905489340271,0.13008515987567398,0.9648178137651822,0.024975983809400897,0.9393606466850691,0.023527727256868074
xgboost,0.9250936329588015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0749063670411985,0.0
gnn,0.19325842696629214,0.1671033290006165,0.060078062693359004,0.021294953413258683,0.68,0.32496153618543844,0.10966591181153891,0.03951610735011923,0.5764372469635627,0.33470452729051275,0.4456520533276599,0.3987892583508291
topogcl,0.9280898876404493,0.04206777852314298,0.5569325631301997,0.26166887958984925,0.69,0.2634387974463898,0.5975049065274629,0.23714157097427377,0.9195141700404859,0.07839907182766787,0.7475448915548215,0.2195231466442234
