model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9683760683760683,0.009593993299420364,0.8743212669683258,0.08509795366892221,0.6705882352941176,0.14694112937407997,0.7465407830843936,0.09629867511718984,0.951640010843047,0.024969985592892367,0.8791067268638768,0.03404365841931913
xgboost,0.9692307692307693,0.020830867704194782,0.9071428571428571,0.18571428571428572,0.7294117647058823,0.18823529411764706,0.7747948717948718,0.13387413377847696,0.9816210355109785,0.013504273809475872,0.9198729545553259,0.05509858016812111
gnn,0.97008547008547,0.021790681682020432,0.8,0.4000000000000001,0.588235294117647,0.2999423243289874,0.6766385931458234,0.34058036012090137,0.8125779343995662,0.161202469974737,0.7546507519217824,0.2006884601868025
topogcl,0.9649572649572649,0.004187161953475503,0.8962745098039215,0.09850165446495668,0.6117647058823529,0.12670976016787067,0.7097935195298278,0.0682846308499348,0.933044185416102,0.010675033361232938,0.7599575085685653,0.06873822580604068
