model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9729999999999999,0.013266499161421611,0.9692307692307693,0.06153846153846154,0.6666666666666666,0.1788854381999832,0.772087912087912,0.1448926831377508,0.9801081081081081,0.016904550212056082,0.9323904448346166,0.029277870497436433
xgboost,0.991,0.0058309518948453055,1.0,0.0,0.8800000000000001,0.07774602526460403,0.9342553997726413,0.04631651865281555,0.9932252252252253,0.004673027770074863,0.9574491417079652,0.025071987215146994
gnn,0.968,0.008717797887081356,1.0,0.0,0.5733333333333334,0.11623730516108464,0.7224418093983311,0.08633323329081409,0.9141621621621623,0.04939245859762061,0.8845926337265417,0.05086050725372261
topogcl,0.9800000000000001,0.004472135954999583,0.9304487179487179,0.06903759849947434,0.8,0.04216370213557842,0.857689025430961,0.028794356552244525,0.9677117117117117,0.01677066167241977,0.8723670107218494,0.03624150119871023
