model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
svm,0.9842696629213483,0.016648772113028364,0.9225806451612903,0.15483870967741933,0.9099999999999999,0.037416573867739396,0.9066225549197686,0.08264386664879168,0.9757489878542509,0.02595056432435486,0.9505626546845598,0.021706226657622864
xgboost,0.9250936329588015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0749063670411985,0.0
gnn,0.948314606741573,0.028464419475655395,0.4,0.48989794855663565,0.31,0.38000000000000006,0.3492063492063492,0.42780648959804485,0.5764372469635627,0.33470452729051275,0.4456520533276599,0.3987892583508291
topogcl,0.9280898876404493,0.04206777852314298,0.5569325631301997,0.26166887958984925,0.69,0.2634387974463898,0.5975049065274629,0.23714157097427377,0.9195141700404859,0.07839907182766787,0.7475448915548215,0.2195231466442234
