dataset,train_ratio,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,fpr_mean,fpr_std,threshold_mean,threshold_std,val_f1_mean,val_f1_std
streamspot,0.8,graphcl,0.9777777777777779,0.01571348402636772,1.0,0.0,0.8666666666666667,0.09428090415820632,0.9259259259259259,0.05237828008789243,1.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.3115006685256958,0.042527577298649095,1.0,0.0
grasec,0.8,graphcl,0.970917225950783,0.0016741196361404853,0.9815568545119943,0.0022005146068310288,0.9876190476190475,0.004096345365258399,0.9845685908856664,0.0009362377967569834,0.9823280423280423,0.002167788857337526,0.9988367703078573,0.0001537685114389509,0.28888888888888886,0.036288736930121156,0.38892970482508343,0.04529434281786397,0.9862684151502621,0.0016285674986750553
